title, director, year
One  Crazy Summer, Savage Steve Holland, 1986
The princes pride, Rob Riner, 1987
The Goonies, Richard Donner, 1985
The Breakfast Club, John Hughes, 1985
Monty Python and the Holy Grail, Terry Gilliam, 1975
Willow, Ron Howard, 1988
Pyscho, Alfred Hitchcokc, 1980
